,satisfaction
89909,neutral or dissatisfied
89910,satisfied
89911,neutral or dissatisfied
89912,satisfied
89913,satisfied
89914,neutral or dissatisfied
89915,satisfied
89916,neutral or dissatisfied
89917,neutral or dissatisfied
89918,satisfied
89919,satisfied
89920,neutral or dissatisfied
89921,satisfied
89922,satisfied
89923,satisfied
89924,satisfied
89925,neutral or dissatisfied
89926,satisfied
89927,satisfied
89928,satisfied
89929,satisfied
89930,satisfied
89931,neutral or dissatisfied
89932,satisfied
89933,satisfied
89934,satisfied
89935,neutral or dissatisfied
89936,satisfied
89937,satisfied
89938,neutral or dissatisfied
89939,satisfied
89940,satisfied
89941,satisfied
89942,satisfied
89943,neutral or dissatisfied
89944,neutral or dissatisfied
89945,neutral or dissatisfied
89946,satisfied
89947,neutral or dissatisfied
89948,satisfied
89949,neutral or dissatisfied
89950,satisfied
89951,neutral or dissatisfied
89952,neutral or dissatisfied
89953,satisfied
89954,neutral or dissatisfied
89955,neutral or dissatisfied
89956,neutral or dissatisfied
89957,satisfied
89958,satisfied
89959,satisfied
89960,satisfied
89961,neutral or dissatisfied
89962,neutral or dissatisfied
89963,neutral or dissatisfied
89964,neutral or dissatisfied
89965,neutral or dissatisfied
89966,neutral or dissatisfied
89967,neutral or dissatisfied
89968,neutral or dissatisfied
89969,satisfied
89970,satisfied
89971,satisfied
89972,satisfied
89973,satisfied
89974,neutral or dissatisfied
89975,neutral or dissatisfied
89976,neutral or dissatisfied
89977,satisfied
89978,satisfied
89979,neutral or dissatisfied
89980,neutral or dissatisfied
89981,satisfied
89982,neutral or dissatisfied
89983,neutral or dissatisfied
89984,neutral or dissatisfied
89985,satisfied
89986,satisfied
89987,neutral or dissatisfied
89988,neutral or dissatisfied
89989,satisfied
89990,neutral or dissatisfied
89991,neutral or dissatisfied
89992,neutral or dissatisfied
89993,neutral or dissatisfied
89994,neutral or dissatisfied
89995,satisfied
89996,satisfied
89997,neutral or dissatisfied
89998,neutral or dissatisfied
89999,satisfied
90000,neutral or dissatisfied
90001,neutral or dissatisfied
90002,satisfied
90003,satisfied
90004,satisfied
90005,neutral or dissatisfied
90006,satisfied
90007,neutral or dissatisfied
90008,neutral or dissatisfied
90009,neutral or dissatisfied
90010,neutral or dissatisfied
90011,satisfied
90012,neutral or dissatisfied
90013,satisfied
90014,satisfied
90015,neutral or dissatisfied
90016,satisfied
90017,neutral or dissatisfied
90018,satisfied
90019,satisfied
90020,neutral or dissatisfied
90021,neutral or dissatisfied
90022,neutral or dissatisfied
90023,neutral or dissatisfied
90024,satisfied
90025,neutral or dissatisfied
90026,neutral or dissatisfied
90027,satisfied
90028,neutral or dissatisfied
90029,neutral or dissatisfied
90030,neutral or dissatisfied
90031,neutral or dissatisfied
90032,neutral or dissatisfied
90033,satisfied
90034,satisfied
90035,neutral or dissatisfied
90036,neutral or dissatisfied
90037,neutral or dissatisfied
90038,satisfied
90039,neutral or dissatisfied
90040,neutral or dissatisfied
90041,neutral or dissatisfied
90042,neutral or dissatisfied
90043,satisfied
90044,neutral or dissatisfied
90045,neutral or dissatisfied
90046,neutral or dissatisfied
90047,satisfied
90048,neutral or dissatisfied
90049,satisfied
90050,neutral or dissatisfied
90051,neutral or dissatisfied
90052,neutral or dissatisfied
90053,satisfied
90054,neutral or dissatisfied
90055,satisfied
90056,satisfied
90057,neutral or dissatisfied
90058,neutral or dissatisfied
90059,neutral or dissatisfied
90060,satisfied
90061,neutral or dissatisfied
90062,satisfied
90063,neutral or dissatisfied
90064,neutral or dissatisfied
90065,satisfied
90066,satisfied
90067,neutral or dissatisfied
90068,neutral or dissatisfied
90069,neutral or dissatisfied
90070,satisfied
90071,satisfied
90072,satisfied
90073,neutral or dissatisfied
90074,neutral or dissatisfied
90075,satisfied
90076,satisfied
90077,satisfied
90078,neutral or dissatisfied
90079,neutral or dissatisfied
90080,neutral or dissatisfied
90081,satisfied
90082,satisfied
90083,neutral or dissatisfied
90084,neutral or dissatisfied
90085,satisfied
90086,neutral or dissatisfied
90087,satisfied
90088,neutral or dissatisfied
90089,satisfied
90090,satisfied
90091,neutral or dissatisfied
90092,neutral or dissatisfied
90093,satisfied
90094,satisfied
90095,satisfied
90096,neutral or dissatisfied
90097,neutral or dissatisfied
90098,neutral or dissatisfied
90099,neutral or dissatisfied
90100,satisfied
90101,satisfied
90102,satisfied
90103,satisfied
90104,neutral or dissatisfied
90105,satisfied
90106,neutral or dissatisfied
90107,neutral or dissatisfied
90108,satisfied
90109,satisfied
90110,satisfied
90111,neutral or dissatisfied
90112,neutral or dissatisfied
90113,neutral or dissatisfied
90114,satisfied
90115,neutral or dissatisfied
90116,neutral or dissatisfied
90117,satisfied
90118,satisfied
90119,satisfied
90120,neutral or dissatisfied
90121,satisfied
90122,neutral or dissatisfied
90123,satisfied
90124,neutral or dissatisfied
90125,neutral or dissatisfied
90126,neutral or dissatisfied
90127,satisfied
90128,satisfied
90129,satisfied
90130,neutral or dissatisfied
90131,neutral or dissatisfied
90132,satisfied
90133,neutral or dissatisfied
90134,satisfied
90135,satisfied
90136,neutral or dissatisfied
90137,neutral or dissatisfied
90138,neutral or dissatisfied
90139,neutral or dissatisfied
90140,neutral or dissatisfied
90141,neutral or dissatisfied
90142,satisfied
90143,satisfied
90144,neutral or dissatisfied
90145,satisfied
90146,satisfied
90147,neutral or dissatisfied
90148,neutral or dissatisfied
90149,satisfied
90150,neutral or dissatisfied
90151,satisfied
90152,satisfied
90153,neutral or dissatisfied
90154,neutral or dissatisfied
90155,neutral or dissatisfied
90156,satisfied
90157,satisfied
90158,satisfied
90159,neutral or dissatisfied
90160,satisfied
90161,satisfied
90162,satisfied
90163,neutral or dissatisfied
90164,neutral or dissatisfied
90165,neutral or dissatisfied
90166,satisfied
90167,neutral or dissatisfied
90168,neutral or dissatisfied
90169,satisfied
90170,satisfied
90171,neutral or dissatisfied
90172,neutral or dissatisfied
90173,neutral or dissatisfied
90174,satisfied
90175,neutral or dissatisfied
90176,neutral or dissatisfied
90177,neutral or dissatisfied
90178,neutral or dissatisfied
90179,neutral or dissatisfied
90180,satisfied
90181,satisfied
90182,satisfied
90183,satisfied
90184,satisfied
90185,neutral or dissatisfied
90186,satisfied
90187,satisfied
90188,neutral or dissatisfied
90189,satisfied
90190,neutral or dissatisfied
90191,neutral or dissatisfied
90192,neutral or dissatisfied
90193,neutral or dissatisfied
90194,satisfied
90195,neutral or dissatisfied
90196,satisfied
90197,satisfied
90198,satisfied
90199,neutral or dissatisfied
90200,satisfied
90201,neutral or dissatisfied
90202,satisfied
90203,neutral or dissatisfied
90204,satisfied
90205,satisfied
90206,satisfied
90207,satisfied
90208,satisfied
90209,neutral or dissatisfied
90210,satisfied
90211,satisfied
90212,satisfied
90213,satisfied
90214,satisfied
90215,neutral or dissatisfied
90216,neutral or dissatisfied
90217,neutral or dissatisfied
90218,satisfied
90219,neutral or dissatisfied
90220,satisfied
90221,neutral or dissatisfied
90222,neutral or dissatisfied
90223,neutral or dissatisfied
90224,neutral or dissatisfied
90225,neutral or dissatisfied
90226,satisfied
90227,neutral or dissatisfied
90228,satisfied
90229,neutral or dissatisfied
90230,neutral or dissatisfied
90231,neutral or dissatisfied
90232,satisfied
90233,satisfied
90234,neutral or dissatisfied
90235,neutral or dissatisfied
90236,neutral or dissatisfied
90237,neutral or dissatisfied
90238,satisfied
90239,satisfied
90240,satisfied
90241,neutral or dissatisfied
90242,neutral or dissatisfied
90243,satisfied
90244,satisfied
90245,satisfied
90246,satisfied
90247,satisfied
90248,satisfied
90249,satisfied
90250,satisfied
90251,neutral or dissatisfied
90252,satisfied
90253,neutral or dissatisfied
90254,neutral or dissatisfied
90255,neutral or dissatisfied
90256,satisfied
90257,satisfied
90258,satisfied
90259,satisfied
90260,neutral or dissatisfied
90261,satisfied
90262,neutral or dissatisfied
90263,satisfied
90264,satisfied
90265,satisfied
90266,neutral or dissatisfied
90267,neutral or dissatisfied
90268,satisfied
90269,neutral or dissatisfied
90270,neutral or dissatisfied
90271,satisfied
90272,satisfied
90273,neutral or dissatisfied
90274,satisfied
90275,neutral or dissatisfied
90276,satisfied
90277,satisfied
90278,satisfied
90279,neutral or dissatisfied
90280,satisfied
90281,satisfied
90282,neutral or dissatisfied
90283,neutral or dissatisfied
90284,neutral or dissatisfied
90285,neutral or dissatisfied
90286,neutral or dissatisfied
90287,satisfied
90288,neutral or dissatisfied
90289,neutral or dissatisfied
90290,satisfied
90291,neutral or dissatisfied
90292,neutral or dissatisfied
90293,satisfied
90294,satisfied
90295,neutral or dissatisfied
90296,satisfied
90297,satisfied
90298,neutral or dissatisfied
90299,neutral or dissatisfied
90300,neutral or dissatisfied
90301,neutral or dissatisfied
90302,neutral or dissatisfied
90303,satisfied
90304,neutral or dissatisfied
90305,satisfied
90306,satisfied
90307,neutral or dissatisfied
90308,neutral or dissatisfied
90309,satisfied
90310,satisfied
90311,satisfied
90312,satisfied
90313,satisfied
90314,satisfied
90315,neutral or dissatisfied
90316,neutral or dissatisfied
90317,neutral or dissatisfied
90318,neutral or dissatisfied
90319,neutral or dissatisfied
90320,neutral or dissatisfied
90321,satisfied
90322,satisfied
90323,satisfied
90324,satisfied
90325,satisfied
90326,satisfied
90327,neutral or dissatisfied
90328,satisfied
90329,neutral or dissatisfied
90330,satisfied
90331,satisfied
90332,neutral or dissatisfied
90333,neutral or dissatisfied
90334,satisfied
90335,neutral or dissatisfied
90336,satisfied
90337,satisfied
90338,satisfied
90339,neutral or dissatisfied
90340,satisfied
90341,neutral or dissatisfied
90342,satisfied
90343,neutral or dissatisfied
90344,neutral or dissatisfied
90345,neutral or dissatisfied
90346,satisfied
90347,satisfied
90348,satisfied
90349,neutral or dissatisfied
90350,satisfied
90351,neutral or dissatisfied
90352,satisfied
90353,neutral or dissatisfied
90354,neutral or dissatisfied
90355,satisfied
90356,satisfied
90357,neutral or dissatisfied
90358,satisfied
90359,neutral or dissatisfied
90360,neutral or dissatisfied
90361,neutral or dissatisfied
90362,neutral or dissatisfied
90363,neutral or dissatisfied
90364,satisfied
90365,satisfied
90366,neutral or dissatisfied
90367,satisfied
90368,satisfied
90369,satisfied
90370,neutral or dissatisfied
90371,neutral or dissatisfied
90372,neutral or dissatisfied
90373,neutral or dissatisfied
90374,satisfied
90375,neutral or dissatisfied
90376,satisfied
90377,neutral or dissatisfied
90378,satisfied
90379,neutral or dissatisfied
90380,satisfied
90381,satisfied
90382,satisfied
90383,neutral or dissatisfied
90384,satisfied
90385,satisfied
90386,neutral or dissatisfied
90387,satisfied
90388,neutral or dissatisfied
90389,neutral or dissatisfied
90390,satisfied
90391,satisfied
90392,satisfied
90393,satisfied
90394,satisfied
90395,neutral or dissatisfied
90396,satisfied
90397,satisfied
90398,neutral or dissatisfied
90399,satisfied
90400,neutral or dissatisfied
90401,satisfied
90402,satisfied
90403,neutral or dissatisfied
90404,satisfied
90405,satisfied
90406,neutral or dissatisfied
90407,satisfied
90408,neutral or dissatisfied
90409,neutral or dissatisfied
90410,satisfied
90411,satisfied
90412,neutral or dissatisfied
90413,satisfied
90414,satisfied
90415,satisfied
90416,satisfied
90417,satisfied
90418,neutral or dissatisfied
90419,satisfied
90420,neutral or dissatisfied
90421,satisfied
90422,satisfied
90423,neutral or dissatisfied
90424,neutral or dissatisfied
90425,neutral or dissatisfied
90426,neutral or dissatisfied
90427,neutral or dissatisfied
90428,neutral or dissatisfied
90429,neutral or dissatisfied
90430,neutral or dissatisfied
90431,satisfied
90432,neutral or dissatisfied
90433,neutral or dissatisfied
90434,neutral or dissatisfied
90435,neutral or dissatisfied
90436,neutral or dissatisfied
90437,satisfied
90438,neutral or dissatisfied
90439,satisfied
90440,neutral or dissatisfied
90441,satisfied
90442,neutral or dissatisfied
90443,satisfied
90444,neutral or dissatisfied
90445,neutral or dissatisfied
90446,satisfied
90447,neutral or dissatisfied
90448,satisfied
90449,satisfied
90450,satisfied
90451,neutral or dissatisfied
90452,satisfied
90453,satisfied
90454,satisfied
90455,satisfied
90456,neutral or dissatisfied
90457,satisfied
90458,satisfied
90459,neutral or dissatisfied
90460,neutral or dissatisfied
90461,satisfied
90462,satisfied
90463,neutral or dissatisfied
90464,satisfied
90465,neutral or dissatisfied
90466,satisfied
90467,satisfied
90468,satisfied
90469,satisfied
90470,satisfied
90471,neutral or dissatisfied
90472,satisfied
90473,neutral or dissatisfied
90474,satisfied
90475,satisfied
90476,neutral or dissatisfied
90477,neutral or dissatisfied
90478,neutral or dissatisfied
90479,neutral or dissatisfied
90480,satisfied
90481,satisfied
90482,satisfied
90483,neutral or dissatisfied
90484,neutral or dissatisfied
90485,satisfied
90486,satisfied
90487,neutral or dissatisfied
90488,satisfied
90489,satisfied
90490,neutral or dissatisfied
90491,neutral or dissatisfied
90492,neutral or dissatisfied
90493,neutral or dissatisfied
90494,satisfied
90495,satisfied
90496,neutral or dissatisfied
90497,neutral or dissatisfied
90498,satisfied
90499,neutral or dissatisfied
90500,satisfied
90501,neutral or dissatisfied
90502,satisfied
90503,satisfied
90504,neutral or dissatisfied
90505,satisfied
90506,satisfied
90507,neutral or dissatisfied
90508,neutral or dissatisfied
90509,satisfied
90510,satisfied
90511,satisfied
90512,satisfied
90513,satisfied
90514,satisfied
90515,satisfied
90516,satisfied
90517,neutral or dissatisfied
90518,neutral or dissatisfied
90519,neutral or dissatisfied
90520,neutral or dissatisfied
90521,satisfied
90522,neutral or dissatisfied
90523,neutral or dissatisfied
90524,satisfied
90525,neutral or dissatisfied
90526,neutral or dissatisfied
90527,neutral or dissatisfied
90528,satisfied
90529,satisfied
90530,neutral or dissatisfied
90531,neutral or dissatisfied
90532,satisfied
90533,neutral or dissatisfied
90534,satisfied
90535,neutral or dissatisfied
90536,neutral or dissatisfied
90537,neutral or dissatisfied
90538,neutral or dissatisfied
90539,neutral or dissatisfied
90540,satisfied
90541,neutral or dissatisfied
90542,neutral or dissatisfied
90543,neutral or dissatisfied
90544,neutral or dissatisfied
90545,satisfied
90546,satisfied
90547,neutral or dissatisfied
90548,neutral or dissatisfied
90549,satisfied
90550,neutral or dissatisfied
90551,satisfied
90552,neutral or dissatisfied
90553,neutral or dissatisfied
90554,neutral or dissatisfied
90555,satisfied
90556,satisfied
90557,neutral or dissatisfied
90558,neutral or dissatisfied
90559,neutral or dissatisfied
90560,satisfied
90561,satisfied
90562,neutral or dissatisfied
90563,neutral or dissatisfied
90564,satisfied
90565,satisfied
90566,satisfied
90567,satisfied
90568,satisfied
90569,satisfied
90570,neutral or dissatisfied
90571,neutral or dissatisfied
90572,neutral or dissatisfied
90573,neutral or dissatisfied
90574,satisfied
90575,neutral or dissatisfied
90576,neutral or dissatisfied
90577,neutral or dissatisfied
90578,neutral or dissatisfied
90579,satisfied
90580,neutral or dissatisfied
90581,neutral or dissatisfied
90582,neutral or dissatisfied
90583,neutral or dissatisfied
90584,neutral or dissatisfied
90585,neutral or dissatisfied
90586,neutral or dissatisfied
90587,satisfied
90588,neutral or dissatisfied
90589,satisfied
90590,neutral or dissatisfied
90591,neutral or dissatisfied
90592,neutral or dissatisfied
90593,neutral or dissatisfied
90594,neutral or dissatisfied
90595,satisfied
90596,neutral or dissatisfied
90597,satisfied
90598,satisfied
90599,satisfied
90600,satisfied
90601,satisfied
90602,neutral or dissatisfied
90603,satisfied
90604,neutral or dissatisfied
90605,satisfied
90606,neutral or dissatisfied
90607,satisfied
90608,satisfied
90609,neutral or dissatisfied
90610,satisfied
90611,neutral or dissatisfied
90612,satisfied
90613,satisfied
90614,satisfied
90615,neutral or dissatisfied
90616,neutral or dissatisfied
90617,neutral or dissatisfied
90618,neutral or dissatisfied
90619,satisfied
90620,satisfied
90621,satisfied
90622,neutral or dissatisfied
90623,satisfied
90624,satisfied
90625,neutral or dissatisfied
90626,satisfied
90627,neutral or dissatisfied
90628,satisfied
90629,neutral or dissatisfied
90630,satisfied
90631,satisfied
90632,satisfied
90633,neutral or dissatisfied
90634,satisfied
90635,neutral or dissatisfied
90636,satisfied
90637,neutral or dissatisfied
90638,satisfied
90639,neutral or dissatisfied
90640,satisfied
90641,neutral or dissatisfied
90642,neutral or dissatisfied
90643,satisfied
90644,satisfied
90645,satisfied
90646,neutral or dissatisfied
90647,neutral or dissatisfied
90648,satisfied
90649,satisfied
90650,neutral or dissatisfied
90651,satisfied
90652,neutral or dissatisfied
90653,neutral or dissatisfied
90654,satisfied
90655,neutral or dissatisfied
90656,neutral or dissatisfied
90657,neutral or dissatisfied
90658,satisfied
90659,neutral or dissatisfied
90660,satisfied
90661,neutral or dissatisfied
90662,neutral or dissatisfied
90663,satisfied
90664,satisfied
90665,satisfied
90666,satisfied
90667,satisfied
90668,neutral or dissatisfied
90669,neutral or dissatisfied
90670,satisfied
90671,satisfied
90672,satisfied
90673,neutral or dissatisfied
90674,satisfied
90675,neutral or dissatisfied
90676,satisfied
90677,neutral or dissatisfied
90678,satisfied
90679,satisfied
90680,neutral or dissatisfied
90681,satisfied
90682,neutral or dissatisfied
90683,neutral or dissatisfied
90684,neutral or dissatisfied
90685,neutral or dissatisfied
90686,satisfied
90687,neutral or dissatisfied
90688,neutral or dissatisfied
90689,satisfied
90690,neutral or dissatisfied
90691,neutral or dissatisfied
90692,neutral or dissatisfied
90693,neutral or dissatisfied
90694,neutral or dissatisfied
90695,neutral or dissatisfied
90696,neutral or dissatisfied
90697,neutral or dissatisfied
90698,satisfied
90699,satisfied
90700,neutral or dissatisfied
90701,satisfied
90702,neutral or dissatisfied
90703,neutral or dissatisfied
90704,neutral or dissatisfied
90705,satisfied
90706,satisfied
90707,neutral or dissatisfied
90708,satisfied
90709,satisfied
90710,satisfied
90711,neutral or dissatisfied
90712,neutral or dissatisfied
90713,neutral or dissatisfied
90714,neutral or dissatisfied
90715,satisfied
90716,satisfied
90717,satisfied
90718,satisfied
90719,neutral or dissatisfied
90720,neutral or dissatisfied
90721,neutral or dissatisfied
90722,neutral or dissatisfied
90723,satisfied
90724,neutral or dissatisfied
90725,satisfied
90726,satisfied
90727,satisfied
90728,neutral or dissatisfied
90729,satisfied
90730,satisfied
90731,satisfied
90732,neutral or dissatisfied
90733,neutral or dissatisfied
90734,neutral or dissatisfied
90735,neutral or dissatisfied
90736,satisfied
90737,satisfied
90738,satisfied
90739,satisfied
90740,satisfied
90741,satisfied
90742,neutral or dissatisfied
90743,neutral or dissatisfied
90744,satisfied
90745,neutral or dissatisfied
90746,satisfied
90747,neutral or dissatisfied
90748,neutral or dissatisfied
90749,neutral or dissatisfied
90750,neutral or dissatisfied
90751,neutral or dissatisfied
90752,neutral or dissatisfied
90753,neutral or dissatisfied
90754,neutral or dissatisfied
90755,neutral or dissatisfied
90756,satisfied
90757,satisfied
90758,neutral or dissatisfied
90759,satisfied
90760,neutral or dissatisfied
90761,satisfied
90762,satisfied
90763,satisfied
90764,satisfied
90765,neutral or dissatisfied
90766,neutral or dissatisfied
90767,neutral or dissatisfied
90768,neutral or dissatisfied
90769,satisfied
90770,neutral or dissatisfied
90771,neutral or dissatisfied
90772,satisfied
90773,satisfied
90774,satisfied
90775,neutral or dissatisfied
90776,neutral or dissatisfied
90777,neutral or dissatisfied
90778,neutral or dissatisfied
90779,neutral or dissatisfied
90780,neutral or dissatisfied
90781,satisfied
90782,neutral or dissatisfied
90783,neutral or dissatisfied
90784,satisfied
90785,neutral or dissatisfied
90786,satisfied
90787,neutral or dissatisfied
90788,neutral or dissatisfied
90789,neutral or dissatisfied
90790,satisfied
90791,neutral or dissatisfied
90792,neutral or dissatisfied
90793,neutral or dissatisfied
90794,neutral or dissatisfied
90795,satisfied
90796,satisfied
90797,satisfied
90798,satisfied
90799,neutral or dissatisfied
90800,neutral or dissatisfied
90801,neutral or dissatisfied
90802,neutral or dissatisfied
90803,neutral or dissatisfied
90804,satisfied
90805,satisfied
90806,neutral or dissatisfied
90807,satisfied
90808,satisfied
90809,neutral or dissatisfied
90810,neutral or dissatisfied
90811,satisfied
90812,neutral or dissatisfied
90813,satisfied
90814,satisfied
90815,satisfied
90816,satisfied
90817,satisfied
90818,neutral or dissatisfied
90819,satisfied
90820,neutral or dissatisfied
90821,satisfied
90822,satisfied
90823,neutral or dissatisfied
90824,neutral or dissatisfied
90825,neutral or dissatisfied
90826,satisfied
90827,neutral or dissatisfied
90828,satisfied
90829,neutral or dissatisfied
90830,neutral or dissatisfied
90831,satisfied
90832,satisfied
90833,satisfied
90834,satisfied
90835,neutral or dissatisfied
90836,satisfied
90837,neutral or dissatisfied
90838,neutral or dissatisfied
90839,satisfied
90840,satisfied
90841,neutral or dissatisfied
90842,satisfied
90843,satisfied
90844,neutral or dissatisfied
90845,neutral or dissatisfied
90846,satisfied
90847,neutral or dissatisfied
90848,neutral or dissatisfied
90849,satisfied
90850,neutral or dissatisfied
90851,satisfied
90852,neutral or dissatisfied
90853,neutral or dissatisfied
90854,satisfied
90855,satisfied
90856,neutral or dissatisfied
90857,satisfied
90858,neutral or dissatisfied
90859,neutral or dissatisfied
90860,neutral or dissatisfied
90861,neutral or dissatisfied
90862,neutral or dissatisfied
90863,neutral or dissatisfied
90864,neutral or dissatisfied
90865,neutral or dissatisfied
90866,neutral or dissatisfied
90867,neutral or dissatisfied
90868,neutral or dissatisfied
90869,satisfied
90870,neutral or dissatisfied
90871,neutral or dissatisfied
90872,neutral or dissatisfied
90873,neutral or dissatisfied
90874,neutral or dissatisfied
90875,satisfied
90876,satisfied
90877,neutral or dissatisfied
90878,neutral or dissatisfied
90879,satisfied
90880,neutral or dissatisfied
90881,satisfied
90882,satisfied
90883,satisfied
90884,satisfied
90885,neutral or dissatisfied
90886,satisfied
90887,satisfied
90888,satisfied
90889,neutral or dissatisfied
90890,neutral or dissatisfied
90891,satisfied
90892,satisfied
90893,neutral or dissatisfied
90894,satisfied
90895,neutral or dissatisfied
90896,neutral or dissatisfied
90897,satisfied
90898,neutral or dissatisfied
90899,neutral or dissatisfied
90900,neutral or dissatisfied
90901,neutral or dissatisfied
90902,satisfied
90903,satisfied
90904,neutral or dissatisfied
90905,satisfied
90906,neutral or dissatisfied
90907,neutral or dissatisfied
90908,satisfied
90909,neutral or dissatisfied
90910,neutral or dissatisfied
90911,neutral or dissatisfied
90912,neutral or dissatisfied
90913,satisfied
90914,satisfied
90915,neutral or dissatisfied
90916,neutral or dissatisfied
90917,satisfied
90918,neutral or dissatisfied
90919,satisfied
90920,satisfied
90921,neutral or dissatisfied
90922,neutral or dissatisfied
90923,neutral or dissatisfied
90924,neutral or dissatisfied
90925,satisfied
90926,neutral or dissatisfied
90927,satisfied
90928,satisfied
90929,satisfied
90930,neutral or dissatisfied
90931,satisfied
90932,satisfied
90933,neutral or dissatisfied
90934,neutral or dissatisfied
90935,satisfied
90936,neutral or dissatisfied
90937,satisfied
90938,satisfied
90939,satisfied
90940,satisfied
90941,satisfied
90942,neutral or dissatisfied
90943,satisfied
90944,satisfied
90945,satisfied
90946,satisfied
90947,satisfied
90948,neutral or dissatisfied
90949,satisfied
90950,satisfied
90951,satisfied
90952,neutral or dissatisfied
90953,neutral or dissatisfied
90954,neutral or dissatisfied
90955,neutral or dissatisfied
90956,neutral or dissatisfied
90957,satisfied
90958,neutral or dissatisfied
90959,satisfied
90960,satisfied
90961,neutral or dissatisfied
90962,neutral or dissatisfied
90963,neutral or dissatisfied
90964,neutral or dissatisfied
90965,satisfied
90966,satisfied
90967,neutral or dissatisfied
90968,satisfied
90969,neutral or dissatisfied
90970,neutral or dissatisfied
90971,neutral or dissatisfied
90972,satisfied
90973,neutral or dissatisfied
90974,satisfied
90975,satisfied
90976,neutral or dissatisfied
90977,satisfied
90978,neutral or dissatisfied
90979,neutral or dissatisfied
90980,satisfied
90981,neutral or dissatisfied
90982,satisfied
90983,satisfied
90984,neutral or dissatisfied
90985,neutral or dissatisfied
90986,neutral or dissatisfied
90987,satisfied
90988,satisfied
90989,satisfied
90990,neutral or dissatisfied
90991,satisfied
90992,neutral or dissatisfied
90993,neutral or dissatisfied
90994,neutral or dissatisfied
90995,neutral or dissatisfied
90996,neutral or dissatisfied
90997,neutral or dissatisfied
90998,neutral or dissatisfied
90999,neutral or dissatisfied
91000,neutral or dissatisfied
91001,satisfied
91002,satisfied
91003,neutral or dissatisfied
91004,neutral or dissatisfied
91005,neutral or dissatisfied
91006,neutral or dissatisfied
91007,neutral or dissatisfied
91008,neutral or dissatisfied
91009,neutral or dissatisfied
91010,satisfied
91011,satisfied
91012,neutral or dissatisfied
91013,neutral or dissatisfied
91014,neutral or dissatisfied
91015,neutral or dissatisfied
91016,neutral or dissatisfied
91017,satisfied
91018,neutral or dissatisfied
91019,neutral or dissatisfied
91020,neutral or dissatisfied
91021,neutral or dissatisfied
91022,neutral or dissatisfied
91023,satisfied
91024,satisfied
91025,neutral or dissatisfied
91026,neutral or dissatisfied
91027,neutral or dissatisfied
91028,neutral or dissatisfied
91029,satisfied
91030,satisfied
91031,neutral or dissatisfied
91032,satisfied
91033,satisfied
91034,neutral or dissatisfied
91035,neutral or dissatisfied
91036,neutral or dissatisfied
91037,neutral or dissatisfied
91038,neutral or dissatisfied
91039,neutral or dissatisfied
91040,neutral or dissatisfied
91041,satisfied
91042,satisfied
91043,neutral or dissatisfied
91044,neutral or dissatisfied
91045,neutral or dissatisfied
91046,satisfied
91047,neutral or dissatisfied
91048,satisfied
91049,neutral or dissatisfied
91050,neutral or dissatisfied
91051,neutral or dissatisfied
91052,neutral or dissatisfied
91053,neutral or dissatisfied
91054,neutral or dissatisfied
91055,neutral or dissatisfied
91056,neutral or dissatisfied
91057,neutral or dissatisfied
91058,satisfied
91059,satisfied
91060,satisfied
91061,satisfied
91062,satisfied
91063,satisfied
91064,satisfied
91065,neutral or dissatisfied
91066,neutral or dissatisfied
91067,satisfied
91068,satisfied
91069,neutral or dissatisfied
91070,satisfied
91071,neutral or dissatisfied
91072,neutral or dissatisfied
91073,neutral or dissatisfied
91074,neutral or dissatisfied
91075,satisfied
91076,neutral or dissatisfied
91077,neutral or dissatisfied
91078,neutral or dissatisfied
91079,satisfied
91080,neutral or dissatisfied
91081,neutral or dissatisfied
91082,satisfied
91083,neutral or dissatisfied
91084,neutral or dissatisfied
91085,neutral or dissatisfied
91086,neutral or dissatisfied
91087,neutral or dissatisfied
91088,satisfied
91089,satisfied
91090,neutral or dissatisfied
91091,satisfied
91092,satisfied
91093,satisfied
91094,neutral or dissatisfied
91095,satisfied
91096,satisfied
91097,neutral or dissatisfied
91098,satisfied
91099,neutral or dissatisfied
91100,neutral or dissatisfied
91101,neutral or dissatisfied
91102,neutral or dissatisfied
91103,satisfied
91104,neutral or dissatisfied
91105,neutral or dissatisfied
91106,satisfied
91107,neutral or dissatisfied
91108,neutral or dissatisfied
91109,neutral or dissatisfied
91110,neutral or dissatisfied
91111,neutral or dissatisfied
91112,neutral or dissatisfied
91113,satisfied
91114,neutral or dissatisfied
91115,satisfied
91116,neutral or dissatisfied
91117,neutral or dissatisfied
91118,neutral or dissatisfied
91119,satisfied
91120,neutral or dissatisfied
91121,neutral or dissatisfied
91122,neutral or dissatisfied
91123,satisfied
91124,neutral or dissatisfied
91125,neutral or dissatisfied
91126,neutral or dissatisfied
91127,neutral or dissatisfied
91128,neutral or dissatisfied
91129,neutral or dissatisfied
91130,neutral or dissatisfied
91131,neutral or dissatisfied
91132,neutral or dissatisfied
91133,neutral or dissatisfied
91134,neutral or dissatisfied
91135,neutral or dissatisfied
91136,neutral or dissatisfied
91137,neutral or dissatisfied
91138,satisfied
91139,neutral or dissatisfied
91140,neutral or dissatisfied
91141,satisfied
91142,neutral or dissatisfied
91143,satisfied
91144,satisfied
91145,satisfied
91146,satisfied
91147,satisfied
91148,satisfied
91149,neutral or dissatisfied
91150,satisfied
91151,satisfied
91152,satisfied
91153,neutral or dissatisfied
